"no","answer","question","option1","option2","option3","option4"
"1","2","銀行辦理授信應極力避免資金之固定呆滯，因此還款來源之維持，應以下列何者作為評估之主要根據？","(1)收益性","(2)流動性","(3)成長性","(4)安全性"
"2","1","依銀行評估信用五項原則，下列何者為確保授信債權之兩道重要防線？","(1)還款來源、債權保障","(2)擔保品、保證","(3)借款人財務結構、放款契約的限制條件","(4)內部保障、外部保障"
"3","3","有關企業授信戶以其董事長名義，授權特定人與本行簽署放款動撥文件之規定，下列敘述何者錯誤？","(1)動撥文件上應載明「董事長OOO之代理人」，以表彰被授權人代理之意旨","(2)本項授權須經單位主管核定後始得辦理","(3)公司組織及名稱未變，僅授權之代表人變更時，授權書仍有效，免重新簽訂","(4)授權書之代表人印章，需與授信約定書上留存之立約印鑑相符"
"4","4","依「銀行法第33條之3授權規定事項辦法」，銀行對於同一人、同一關係人或同一關係企業之授信限額規定，下列何者得不計入該辦法所稱授信總餘額？","(1)外銷貸款","(2)移送中小企業信用保證基金保證之授信","(3)出口押匯","(4)配合政府政策，經主管機關專案核准之專案授信"
"5","3","依「銀行法第33條之3授權規定事項辦法」，銀行對於同一人、同一關係人或同一關係企業之授信限額規定，以下列何種擔保品為十足擔保之授信，得不計入該辦法所稱授信總餘額？","(1)一銀可轉讓定期存單","(2)土地銀行金融債券","(3)公債","(4)本行股票"
"6","4","依「中華民國銀行公會會員授信準則」有關授信類別之規定，下列敘述何者正確？","(1)間接授信是撥貸資金貸放予借款人之融資業務","(2)資本支出貸款是協助企業維持商品及勞務所需之融資","(3)直接授信是擔任客戶之債務保證人並承擔風險","(4)中長期週轉金貸款寄望以企業盈餘、營業收入等作為償還來源"
"7","4","父母均不能行使未成年子女之權利義務時，其監護人之最優先順序為下列何者？","(1)父母四親等內之姻親屬","(2)與未成年人同居之兄姊","(3)三親等內旁系血親尊親屬","(4)與未成年人同居之祖父母"
"8","3","對於合夥財產不足清償合夥債務時，各合夥人對於不足清償之債務應負何種責任？","(1)以出資額為限","(2)不負責任","(3)負連帶清償責任","(4)依合夥契約約定負責"
"9","4","下列授信對象，何者得以該個人及其事業體名稱聯名方式申請？","(1)依法登記，獨立經營之公司組織","(2)政府機關","(3)公營事業","(4)非屬法人組織之診所"
"10","2","下列何者，非屬銀行法第12條所稱擔保授信之擔保品？","(1)不動產或動產抵押權","(2)借款人營業交易所發生之遠期支票","(3)動產或權利質權","(4)經政府核准設立之信用保證機構之保證"
"11","3","銀行法第33條所稱之「同類授信對象」，不包括下列哪一項目？","(1)最近一年內","(2)同一貸款用途","(3)同一行業類別","(4)同一會計科目"
"12","1","有關法人之相關規定，下列敘述何者正確？","(1)外國法人須依法認許，始在我國境內取得法人格，享權利義務","(2)兩合公司之對外代表人為董事長","(3)社團法人為公法人","(4)公司得為任何保證人，無需章程規定"
"13","2","客戶向本行申請授信時，應覓具殷實可靠之保證人保證，有關保證人之徵提，下列敘述何者錯誤？","(1)除法律另有規定外，其人數原則上無擔保放款須2人以上，擔保放款至少1人以上","(2)銀行辦理自用住宅放款及消費性放款，得要求借款人提供連帶保證人","(3)外國人不適宜作保","(4)公司除依其他法律或公司章程以保證為業務者外，不得為任何保證人"
"14","1","本國對完全行為能力人之定義，下列敘述何者正確？","(1)年滿18歲者，即完全行為能力人","(2)年滿16歲者，即完全行為能力人","(3)16歲且已結婚者，具有完全行為能力","(4)未成年人結婚後又離婚，其已取得之行為能力當然失效"
"15","4","工業團體、商業團體、工會、農會、漁會以上法人與本行為借款往來，下列敘述者錯誤?","(1)農會、漁會處理財產必須會員（代表）大會全體會員（代表）三分之二以上出席及出席人數三分之二以上同意","(2)應徵提理事會決議","(3)應加徵其全體理事（或常務理事）以個人身分連帶作保","(4)須轉請上一授信審核層級核准後，始得免予徵提全體理事（或常務理事）為連帶保證人。"
"16","3","依本行授信審查要點，下列敘述何者錯誤？","(1)週轉性貸款不得充作購置長期資產之用","(2)週轉性貸款期間最長以不超過1年為原則","(3)企業因儲備原料或商品之需，以申請長期貸款方式為原則","(4)資本性貸款之最高額度，以不超過客戶所需資金之7成為原則"
"17","3","個人授信戶與其配偶擔任負責人之公司，係屬銀行法第33條之3所稱之何種關係？","(1)同一自然人","(2)同一法人","(3)同一關係人","(4)同一關係企業"
"18","3","有關授信債權憑證對保手續，下列敘述何者錯誤？","(1)各種債權憑證所蓋借保戶印章，應與其授信約定書所蓋印章確實核對，並應由負責人覆核","(2)應確實核對身分並請其親自簽章認定，對保人員於各項約據之「對保人」欄內應簽章以示負責","(3)特別條款部分不須逐條與客戶商議並經其同意，只要給予合理期間審閱即可","(4)對保簽章欄均應由立約人本人親自簽名蓋章"
"19","4","提供本行十足存單為擔保之單筆新臺幣2億元企業授信案(特定授權事項)，得由下列何一審核層級核定？A.總行授信管理處之處長B總行授信管理處之副處長.C區域審核中心主任D.營業單位主管","(1)A","(2)AB","(3)ABC","(4)ABCD"
"20","3","依本行「企業授信審核權限準則」，擔保透支限以何種擔保品為擔保，始可辦理？","(1)不動產或機器設備","(2)不動產或擔保信用狀","(3)本行十足存單、存款或不動產","(4)本行十足存單、存款或擔保信用狀"
